旧字典表名,来源
TWH02_LOCATION,旧字典doc抽取
TWH11_DETAIL,旧字典doc抽取
TWH12_DETAILDT,旧字典doc抽取
TWH13_IN,旧字典doc抽取
TWH14_CHECKINDT,旧字典doc抽取
TWH14_INDT,旧字典doc抽取
TWH15_OUT,旧字典doc抽取
TWH16_OUTDT,旧字典doc抽取
TWH16_OUTDTEID,旧字典doc抽取
TWH16_OUTDTPRD,旧字典doc抽取
TWH17_OVERLOST,旧字典doc抽取
TWH18_OVERLOSTDT,旧字典doc抽取
TWH18_OVERLOSTEID,旧字典doc抽取
TWH21_ARRTOROUTE,旧字典doc抽取
TXC02_CONTROL,旧字典doc抽取
TXC03_LOG,旧字典doc抽取
UPDATE_TIME,旧字典doc抽取
