id,menu_cd,func_cd,func_nm,created_at,updated_at,useflg
68,suppliers,view,查看,2026-05-15 13:14:59.126493,2026-05-15 13:14:59.126493,1
123,system,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
115,transactions,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
117,transfer,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
140,transfers,view,查看,2026-05-16 21:19:30.590691,2026-05-16 21:19:30.590691,1
4,users,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
6,users,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
5,users,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
3,users,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
50,warehouse,view,查看,2026-05-15 11:15:55.499867,2026-05-15 11:15:55.499867,1
169,warehouse-config,view,view,2026-06-14 21:10:19.003571,2026-06-14 21:10:19.003571,1
168,warehouse-reports,view,查看,2026-05-29 10:33:31.095165,2026-05-29 10:33:31.095165,1
31,warehouses,create,新增,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
33,warehouses,delete,删除,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
32,warehouses,edit,编辑,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
30,warehouses,view,查看,2026-05-08 22:47:17.952441,2026-05-08 22:47:17.952441,1
108,work-orders,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
137,work-processes,create,创建,2026-05-16 21:18:24.052169,2026-05-16 21:18:24.052169,1
136,work-processes,view,查看,2026-05-16 21:18:24.052169,2026-05-16 21:18:24.052169,1
